scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,variant,phase_buildUs,phase_layoutUs,phase_paintUs,phase_semanticsUs,phase_semanticTreeUs,phase_coverageUs,phase_semanticDiffUs,phase_semanticEncodeUs
board-16-keyed-true,all-labels,160,112,251,160,terminal,1359462507,1,base,83,0,7,0,0,0,0,0
board-16-keyed-true,reverse,160,56,167,160,terminal,1359462507,1,base,27,0,7,0,0,0,0,0
board-16-keyed-true,replace-subtree,160,205,853,160,terminal,1359462507,1,base,159,2,9,0,0,0,0,0
board-64-keyed-false,one-label,160,95,288,160,terminal,251641503,1,base,30,0,40,0,0,0,0,0
board-64-keyed-false,all-labels,160,912,2439,160,terminal,251641503,1,base,825,0,48,0,0,0,0,0
board-64-keyed-false,reverse,160,848,2464,160,terminal,251641503,1,base,758,5,46,0,0,0,0,0
board-64-keyed-false,replace-subtree,160,1830,4907,160,terminal,251641503,1,base,1710,11,54,0,0,0,0,0
board-64-keyed-true,one-label,160,150,466,160,terminal,251641503,1,base,86,0,40,0,0,0,0,0
board-64-keyed-true,all-labels,160,404,2434,160,terminal,251641503,1,base,335,0,42,0,0,0,0,0
board-64-keyed-true,reverse,160,166,1117,160,terminal,251641503,1,base,94,2,42,0,0,0,0,0
board-64-keyed-true,replace-subtree,160,1808,16144,160,terminal,251641503,1,base,1635,10,53,0,0,0,0,0
board-256-keyed-false,one-label,160,310,2362,160,terminal,251641503,1,base,116,0,164,0,0,0,0,0
board-256-keyed-false,all-labels,160,6742,10267,160,terminal,251641503,1,base,6461,0,210,0,0,0,0,0
board-256-keyed-false,reverse,160,6648,8387,160,terminal,251641503,1,base,6304,73,192,0,0,0,0,0
board-256-keyed-false,replace-subtree,160,22127,24148,160,terminal,251641503,1,base,21831,62,188,0,0,0,0,0
board-256-keyed-true,one-label,160,481,775,160,terminal,251641503,1,base,321,0,133,0,0,0,0,0
board-256-keyed-true,all-labels,160,1527,1922,160,terminal,251641503,1,base,1351,0,144,0,0,0,0,0
board-256-keyed-true,reverse,160,547,860,160,terminal,251641503,1,base,360,9,137,0,0,0,0,0
board-256-keyed-true,replace-subtree,160,23111,27288,160,terminal,251641503,1,base,22760,70,195,0,0,0,0,0
board-16-keyed-false,one-label,160,130,240,160,structured,1359462507,1,after,6,0,7,88,62,13,4,8
