stage,variant,run,kind,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us
hash-sharing-trial,runs,0,plain,1000,open,60,60,0,1830451483,2782,2979
hash-sharing-trial,runs,0,plain,1000,rebuild-same,60,0,0,1830451483,77,102
hash-sharing-trial,runs,0,plain,1000,rebuild-equal,60,0,0,1830451483,79,90
hash-sharing-trial,runs,0,plain,1000,edit,60,60,0,37686951,2786,3053
hash-sharing-trial,runs,0,plain,1000,resize,60,60,0,1830451483,1949,2140
hash-sharing-trial,runs,0,plain,1000,drag,60,60,0,1797951353,103,116
hash-sharing-trial,runs,0,plain,1000,copy,60,0,16730,4053437227,142,153
hash-sharing-trial,runs,1,plain,1000,open,60,60,0,1830451483,2857,3116
hash-sharing-trial,runs,1,plain,1000,rebuild-same,60,0,0,1830451483,80,108
hash-sharing-trial,runs,1,plain,1000,rebuild-equal,60,0,0,1830451483,78,79
hash-sharing-trial,runs,1,plain,1000,edit,60,60,0,37686951,2773,2960
hash-sharing-trial,runs,1,plain,1000,resize,60,60,0,1830451483,1970,2184
hash-sharing-trial,runs,1,plain,1000,drag,60,60,0,1797951353,106,111
hash-sharing-trial,runs,1,plain,1000,copy,60,0,16730,4053437227,138,148
hash-sharing-trial,sharing,0,rich,1000,open,60,60,0,3858414627,9352,11472
hash-sharing-trial,sharing,0,rich,1000,rebuild-same,60,0,0,3858414627,97,102
hash-sharing-trial,sharing,0,rich,1000,rebuild-equal,60,0,0,3858414627,99,112
hash-sharing-trial,sharing,0,rich,1000,edit,60,60,0,2284405263,9750,11823
hash-sharing-trial,sharing,0,rich,1000,resize,60,60,0,3858414627,5709,6279
hash-sharing-trial,sharing,0,rich,1000,drag,60,60,0,3831988741,124,131
hash-sharing-trial,sharing,0,rich,1000,copy,60,0,16730,2752129767,159,174
hash-sharing-trial,sharing,1,rich,1000,open,60,60,0,3858414627,9624,11641
hash-sharing-trial,sharing,1,rich,1000,rebuild-same,60,0,0,3858414627,97,100
hash-sharing-trial,sharing,1,rich,1000,rebuild-equal,60,0,0,3858414627,96,110
hash-sharing-trial,sharing,1,rich,1000,edit,60,60,0,2284405263,9967,11648
hash-sharing-trial,sharing,1,rich,1000,resize,60,60,0,3858414627,5664,6275
hash-sharing-trial,sharing,1,rich,1000,drag,60,60,0,3831988741,123,146
hash-sharing-trial,sharing,1,rich,1000,copy,60,0,16730,2752129767,163,226
hash-sharing-trial,sharing,0,spans,1000,open,60,60,0,2232575019,11384,13293
hash-sharing-trial,sharing,0,spans,1000,rebuild-same,60,0,0,2232575019,128,154
hash-sharing-trial,sharing,0,spans,1000,rebuild-equal,60,0,0,2232575019,136,269
hash-sharing-trial,sharing,0,spans,1000,edit,60,60,0,4052510319,11664,13375
