scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,version,phasesUs
files,mount-first-frame,300,358,579,300,terminal,,1,candidate,
editor,mount-first-frame,300,173,257,300,terminal,,1,candidate,
finance,mount-first-frame,300,622,786,300,terminal,,1,candidate,
board-16-keyed-false,one-label,300,31,34,300,terminal,1359462507,1,candidate,"{""build"": 5, ""coverage"": 0, ""layout"": 0, ""paint"": 6, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-false,all-labels,300,39,40,300,terminal,1359462507,1,candidate,"{""build"": 14, ""coverage"": 0, ""layout"": 0, ""paint"": 6, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-false,reverse,300,42,48,300,terminal,1359462507,1,candidate,"{""build"": 14, ""coverage"": 0, ""layout"": 1, ""paint"": 7, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-false,replace-subtree,300,87,107,300,terminal,1359462507,1,candidate,"{""build"": 45, ""coverage"": 0, ""layout"": 1, ""paint"": 8, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,one-label,300,44,49,300,terminal,1359462507,1,candidate,"{""build"": 19, ""coverage"": 0, ""layout"": 0, ""paint"": 6, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,all-labels,300,54,61,300,terminal,1359462507,1,candidate,"{""build"": 28, ""coverage"": 0, ""layout"": 0, ""paint"": 7, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,reverse,300,48,57,300,terminal,1359462507,1,candidate,"{""build"": 21, ""coverage"": 0, ""layout"": 0, ""paint"": 7, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,replace-subtree,300,98,121,300,terminal,1359462507,1,candidate,"{""build"": 57, ""coverage"": 0, ""layout"": 1, ""paint"": 8, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-false,one-label,300,79,105,300,terminal,251641503,1,candidate,"{""build"": 18, ""coverage"": 0, ""layout"": 0, ""paint"": 37, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-false,all-labels,300,113,148,300,terminal,251641503,1,candidate,"{""build"": 52, ""coverage"": 0, ""layout"": 0, ""paint"": 37, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-64-keyed-false,reverse,300,118,156,300,terminal,251641503,1,candidate,"{""build"": 53, ""coverage"": 0, ""layout"": 3, ""paint"": 38, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
