kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart,probe,variant,run
plain,spec,False,10000,edit,60,60,0,37686951,13602,16445,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,False,10000,resize,60,60,0,1830451483,268,336,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,False,10000,drag,60,60,0,2724726841,113,136,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,False,10000,copy,60,0,16730,1404687173,173,264,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,False,10000,copy-all,60,0,51099930,3813876293,669,1856,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,1
plain,spec,False,10000,open,60,60,0,1830451483,18261,27280,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,False,10000,rebuild-same,60,0,0,1830451483,89,168,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,False,10000,rebuild-equal,60,0,0,1830451483,86,206,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,False,10000,edit,60,60,0,37686951,17491,20745,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,False,10000,resize,60,60,0,1830451483,4266,6164,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,False,10000,drag,60,60,0,2724726841,106,204,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,False,10000,copy,60,0,16730,1404687173,164,331,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,False,10000,copy-all,60,0,51099930,3813876293,716,2091,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,1
plain,spec,True,1000,open,60,60,0,1830451483,3325,4576,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,True,1000,rebuild-same,60,0,0,1830451483,82,124,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,True,1000,rebuild-equal,60,0,0,1830451483,82,111,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,True,1000,edit,60,60,0,37686951,3806,7009,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,True,1000,resize,60,60,0,1830451483,2500,3142,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,True,1000,drag,60,60,0,1797951353,81,122,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,True,1000,copy,60,0,16730,4053437227,87,163,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,True,1000,copy-all,60,0,5109930,2704721301,122,240,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,True,1000,open,60,60,0,1830451483,3334,5052,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,True,1000,rebuild-same,60,0,0,1830451483,81,99,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,True,1000,rebuild-equal,60,0,0,1830451483,82,161,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,True,1000,edit,60,60,0,37686951,3024,6701,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,True,1000,resize,60,60,0,1830451483,3488,6511,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,True,1000,drag,60,60,0,1797951353,84,325,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,True,1000,copy,60,0,16730,4053437227,91,374,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,True,1000,copy-all,60,0,5109930,2704721301,153,358,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,False,1000,open,60,60,0,1830451483,1632,3024,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,False,1000,rebuild-same,60,0,0,1830451483,84,234,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,False,1000,rebuild-equal,60,0,0,1830451483,83,227,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,False,1000,edit,60,60,0,37686951,1794,4111,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,False,1000,resize,60,60,0,1830451483,415,653,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,False,1000,drag,60,60,0,1797951353,80,84,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,False,1000,copy,60,0,16730,4053437227,85,92,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,False,1000,copy-all,60,0,5109930,2704721301,118,196,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,base,2
plain,spec,False,1000,open,60,60,0,1830451483,1396,2315,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
plain,spec,False,1000,rebuild-same,60,0,0,1830451483,83,196,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",document,after,2
