kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart,run,variant
plain,spec,False,1000,copy-all,50,0,4379940,2704721301,118,147,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,True,10000,open,50,50,0,1830451483,28943,30625,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,10000,rebuild-same,50,0,0,1830451483,81,95,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,10000,rebuild-equal,50,0,0,1830451483,77,98,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,10000,edit,50,50,0,37686951,29446,32800,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,10000,resize,50,50,0,1830451483,21423,22987,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,10000,drag,50,50,0,2724726841,100,151,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,10000,copy,50,0,14340,1404687173,154,158,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,10000,copy-all,50,0,43799940,3813876293,615,1957,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,equal
plain,spec,True,10000,open,50,50,0,1830451483,29824,44685,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,True,10000,rebuild-same,50,0,0,1830451483,76,85,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,True,10000,rebuild-equal,50,0,0,1830451483,77,82,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,True,10000,edit,50,50,0,37686951,29750,31592,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,True,10000,resize,50,50,0,1830451483,24844,26716,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,True,10000,drag,50,50,0,2724726841,100,103,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
plain,spec,True,10000,copy,50,0,14340,1404687173,154,164,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64""",1,base
