variant,run,kind,policy,wrap,lines,operation,frames,changedFrames,copiedUnits,fingerprint,medianUs,p95Us,dart
after,1,rich,spec,True,50,copy,60,0,16730,675705227,97,113,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,spec,True,50,copy-all,60,0,255430,1863551171,114,126,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,split,True,1000,open,60,60,0,7385663,8375,11270,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,split,True,1000,rebuild-same,60,0,0,7385663,98,120,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,split,True,1000,rebuild-equal,60,0,0,7385663,100,124,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,split,True,1000,edit,60,60,0,1864840635,8735,9929,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,split,True,1000,resize,60,60,0,7385663,3409,3792,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,split,True,1000,drag,60,60,0,108748043,115,121,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,split,True,1000,copy,60,0,16730,2682076145,157,175,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,rich,split,True,1000,copy-all,60,0,5109930,437228629,301,346,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,split,True,1000,open,60,60,0,7385663,7917,9668,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,split,True,1000,rebuild-same,60,0,0,7385663,98,102,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,split,True,1000,rebuild-equal,60,0,0,7385663,98,125,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,split,True,1000,edit,60,60,0,1864840635,8128,9328,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,split,True,1000,resize,60,60,0,7385663,3419,3636,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,split,True,1000,drag,60,60,0,108748043,114,127,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,split,True,1000,copy,60,0,16730,2682076145,154,166,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,rich,split,True,1000,copy-all,60,0,5109930,437228629,294,330,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,1000,open,60,60,0,2232575019,7799,8703,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,1000,rebuild-same,60,0,0,2232575019,136,145,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,1000,rebuild-equal,60,0,0,2232575019,146,173,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,1000,edit,60,60,0,4052510319,7962,9274,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,1000,resize,60,60,0,2232575019,3442,3836,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,1000,drag,60,60,0,2618650863,100,103,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,1000,copy,60,0,16730,619799109,105,125,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,1000,copy-all,60,0,5109930,1196124373,161,206,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,1000,open,60,60,0,2232575019,7165,7628,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,1000,rebuild-same,60,0,0,2232575019,127,151,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,1000,rebuild-equal,60,0,0,2232575019,140,157,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,1000,edit,60,60,0,4052510319,7394,8540,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,1000,resize,60,60,0,2232575019,3290,3600,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,1000,drag,60,60,0,2618650863,97,115,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,1000,copy,60,0,16730,619799109,102,115,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,1000,copy-all,60,0,5109930,1196124373,151,174,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,10000,open,30,30,0,2232575019,83239,87621,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,10000,rebuild-same,30,0,0,2232575019,456,2025,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,10000,rebuild-equal,30,0,0,2232575019,614,1578,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,10000,edit,30,30,0,4052510319,87280,97402,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,10000,resize,30,30,0,2232575019,41077,44428,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,10000,drag,30,30,0,4249474571,137,190,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,10000,copy,30,0,9560,1111127019,178,183,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,10000,copy-all,30,0,29199960,2264602581,663,2094,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,10000,open,30,30,0,2232575019,79982,87466,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,10000,rebuild-same,30,0,0,2232575019,443,523,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,10000,rebuild-equal,30,0,0,2232575019,598,647,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,10000,edit,30,30,0,4052510319,84255,90350,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,10000,resize,30,30,0,2232575019,39961,43517,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,10000,drag,30,30,0,4249474571,124,128,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,10000,copy,30,0,9560,1111127019,173,176,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,10000,copy-all,30,0,29199960,2264602581,781,2260,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,50,open,60,60,0,2232575019,403,584,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,50,rebuild-same,60,0,0,2232575019,100,131,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,50,rebuild-equal,60,0,0,2232575019,105,116,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,50,edit,60,60,0,4052510319,403,583,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,50,resize,60,60,0,2232575019,261,318,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,50,drag,60,60,0,3912241799,102,232,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,50,copy,60,0,16730,3317457143,103,161,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,spec,True,50,copy-all,60,0,255430,4119145319,113,153,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,50,open,60,60,0,2232575019,387,556,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,50,rebuild-same,60,0,0,2232575019,98,113,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,50,rebuild-equal,60,0,0,2232575019,99,114,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,50,edit,60,60,0,4052510319,391,574,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,50,resize,60,60,0,2232575019,251,279,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,50,drag,60,60,0,3912241799,96,122,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,50,copy,60,0,16730,3317457143,100,125,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,1,spans,spec,True,50,copy-all,60,0,255430,4119145319,113,136,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,split,True,1000,open,60,60,0,4077269935,8717,9479,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,split,True,1000,rebuild-same,60,0,0,4077269935,137,170,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,split,True,1000,rebuild-equal,60,0,0,4077269935,148,179,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,split,True,1000,edit,60,60,0,4091075307,9221,11088,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,split,True,1000,resize,60,60,0,4077269935,3443,3948,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,split,True,1000,drag,60,60,0,3792511863,116,134,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
after,0,spans,split,True,1000,copy,60,0,16730,175425013,156,183,"3.12.2 (stable) (Tue Jun 9 01:11:39 2026 -0700) on ""macos_arm64"""
